chapter,chunk,text
8,7,"ation which turns out to be indistinguishable from the omnipotence of the State? Perhaps, in the latter case, workers who have not experienced syndicalism or Western socialism are given a sensation of progress. In the eyes of the East German or Czech workers, who have known real liberties, 'ideal' emancipation is nothing but a hoax. The Attraction of Ideal Emancipation When the majority of the proletariat is led by men who are dedicated to real emancipation, left-wing intellectuals need have no pangs of conscience. Perhaps they are unconsciously disillusioned by the attitude of the workers, who are more susceptible to immediate gains than to grandiose visions. Artists and writers have seldom been inspired by the British Labour movement or by Swedish syndicalism, and they are certainly right not to waste their time studying achievements which, however admirable, are not worthy of the consideration of superior minds. In Great Britain, the leaders of the Labour movement who are of working-class origin usually show more moderation than those who have graduated from the intellectual professions. Aneurin Bevan is an obvious exception, and it is not surprising that he is surrounded by intellectuals and that the trade union leaders are among his principal adversaries. In France it is quite otherwise. There, an important part of the working class votes for the Communist Party, the leaders of the most influential trade unions are Party members, and reformism is regarded as sterile. This is the source of the contradiction which at once torments and fascinates existentialists, left-wing Christians and 'progressives' of every sort: how can they bring themselves to break away completely from the party which represents the proletariat, and how can they give their allegiance to a party which is more interested in serving the interests of the Soviet Union than those of the French working class? Put in rational terms, the problem allows of a variety of solutions. If one considers that the Soviet Union, in spite of everything, represents the cause of the proletariat, one joins the Communist Party or co-operates with it. If, on the other hand, one considers that 'real' emancipation has a better chance of success in the West or that, coexistence being the only means of ensuring peace, France must remain, as she is geographically, on the side of the bourgeois democracies, one tries to wean the unions away from the control of those who have quite sincerely put themselves in the service of Moscow. Finally, one can look for a middle waysocialism at home, neutrality abroad, but without a break with the West. None of these decisions should demand metaphysical ratiocination; none need transform the intellectual into an enemy of the proletariaton one condition: that the decision is made in the light of historical reality and not on the basis of the Marxian prophetism. Unfortunately, both existentialists and 'progressive' Christians refuse to see reality except through this messianic spectroscope. The wish for solidarity with the proletariat is proof of generous feelings, but it scarcely helps one to orientate oneself in the world. In the mid-twentieth century, there is no such thing as a world proletariat. If one supports the party of the Russian proletariat, one is against that of the American proletariat, unless one regards the few thousand Communists, the Negro or Mexican sub-proletariats, as the representatives of the American working class. If one supports the Communist-dominated French trade unions, one is against the German trade unions which are almost unanimously anti-Communist. If one bases oneself on the votes of the majority, one would have had to be Socialist in France in the 'thirties and Communist in the 'fifties, one would be a Labour supporter in England and a Communist supporter in France. The millions of manual labourers do not spontaneously share a united opinion or a united will. According to country or circumstance, they incline towards violence or towards resignation. The authentic proletariat is not defined by the actual experience of the industrial workers, but by a theory of history. How is it that philosophers, who claim to be interested in the concrete, can reaffirm, in the middle of the twentieth century and after two World Wars, the Marxian prophetism concerning the proletariatespecially in a country like France which has more peasants and petty bourgeois than proletarians? Sartre's itinerary towards quasi-Communism appears to be dialectical. Man being a"
8,8,"'vain passion', one is inclined in the last analysis to judge the various 'projects' as all equally sterile. The radiant vision of the classless society follows on the description of the squalid society of today, just as, in the novels of the naturalist school, political optimism was cheerfully combined with the depiction of human basenessthe little blue flower of the future on the dunghill of the present. The existentialist technique of psychology, like the Marxist criticism of ideologies, undermines doctrines by unmasking the sordid interests concealed behind the façade of verbal generosity. There is a risk that this method may lead to a sort of nihilism: why should our own convictions be any purer than those of others? The recourse to an arbitrary decision of the will, either individual or collective, in the Fascist style, offers one way out of this universal negation; the 'lived intersubjectivity' of the proletariat or the law of history offers another. Finally, in the last resort, the philosophy of the existentialists is morally inspired. Sartre is obsessed by the desire for authenticity, for communication, for freedom. For him, any situation which inhibits the exercise of freedom is contrary to man's predestined purpose. The subordination of one individual to another falsifies the dialogue between minds and consciences which are equal because equally free. Ethical radicalism, combined with ignorance of social structures, predisposed him to verbal revolutionism. Hatred of the bourgeoisie makes him allergic to prosaic reforms: the proletariat must not be allowed to compromise with the 'swine' who are confident of the strength of their vested interests. Thus we have the strange spectacle of a philosopher and a sceptic reintroducing the myth of the vocation of the working class, without apparently being aware of any contradiction in his attitude. The case of the 'progressive' Christians is different and their moral conflict is often a moving one. It is difficult for a non-Catholic to broach this subject without being accused of hypocrisy or bigotry. The measures taken against the worker-priests had a profound effect on many Christians; they were also exploited by men who were quite indifferent to religion and who seized the opportunity of discrediting the Church and at the same time boosting the cause of fellow-travelling by quoting men whose political acumen, if not their spiritual quality, was open to doubt. The primary fact which must be taken into account in order to understand the attitude of the 'progressive' Christians is the bond between a large number of French proletarians and the Communist Party. Thus, the author of Jeunesse de l'Eglise writes: ""There could be no hope of the influence of the Church being usefully exercised for the general good if our view of the working-class world where it must be made to take root remained abstract and distorted, however convenient it might seem. We must, therefore, however much it may cost us, face up to the bitter reality: that is to say we must acknowledge as a fact the organic connection between Communism and the working class as a whole. "" But why this organic connection? The author of the book does not invoke historical explanationsthe merger of the unions at the time of the Popular Front, the Resistance, Communist infiltration at the time of the Liberationhe gives reasons which, if literally interpreted, would apply everywhere and always. The Communist Party ""has discovered as it were scientifically the causes of the oppression which weighs upon the working class""; and it has organised this class which would otherwise be prone to spontaneous violence ""for an action whose final success, however distant, is more important than immediate and partial results""; and finally it has given the working-class population ""a philosophy which Jean Lacroix has described in a penetrating phrase as the immanent philosophy of the proletariat"".  Les Evénements et la Foi, 1940-1952 Paris, Editions du Seuil. 1951. ""What we seek"", this writer tells us, ""what we seek passionately, for if we do not find it we will sink into despair, is a new and healthy historical force, preserved from all the squalid double-dealing of the past and capable of accomplishing what the others have been content to think about and make use of for their own ends. And this force does exist: we have come across its solid, palpable form and recognised its potentialities the closer events have brought us to the people"
8,9,". The only modern world which is worthy of our hopes is the working-class world. . . . No, the workers are not supermen or saints; and they sometimes appear pretty weak in face of the infamies which are offered to them by the great as examples of virtue. And yet, in spite of all that, they bear within them the youth of the new worldnew in relation to the one which is disintegrating before our eyeswhich over centuries of time, across all the barriers of space, may be reunited with the civilisations in which money, capital, had not yet monopolised and perverted everything. "" The working-class population carries within it the youth of the world, the Communist Party is organically linked with it, but ""there is no possibility of working-class advancement except in accordance with the plans and the means suggested to the workers by the conditions of existence and of struggle which are theirs, which belong to them"". From which the writer has no hesitation in concluding: ""The working class will return to Christianity, we firmly hope and believe, but probably only after it has, by the strength of its own hands and guided by the immanent philosophy which it carries within itself, conquered humanity. "" It is essential to point out the strictly intellectual errors which are manifest in these texts, errors which are not those of one or two individuals but which have achieved a wide currency in certain circles. To accept Marxism, as propagated by the Communists, as the scientific explanation of working-class misery is tantamount to confusing the physics of Aristotle with those of Einstein or Darwin's Origin of Species with modern biology. The Marxism of the Stalinists, which the left-wing Christians naïvely adopt, attributes to the politico-economic system as suchthe pattern of ownership or the mechanism of the marketthe responsibility for oppression and poverty. This so-called science is in fact no more than an ideology. Nor can Marxism be called ""the immanent philosophy of the proletariat"". Industrial workers may perhaps have a tendency to see society as a whole dominated and exploited by the owners of the means of production. Condemnation of private ownership, indiscriminate abuse of capitalism as the cause of poverty and all other evilsthe workers are sometimes inclined to such hasty and over-simplified judgments, which are encouraged by Communist propaganda. But the affirmation that revolution alone will bring about the liberation of the working class does not in the least express the immanent thought of the proletariat; it belongs to the doctrine which the Communists never entirely succeed in drumming into their proletarian followers. Far from being the science of working-class misfortune, Marxism is an intellectualist philosophy which has seduced certain groups of the proletariat; far from being the immanent philosophy of the proletariat, Communism merely makes use of this pseudo-science in order to attain its own end, the seizure of power. The workers do not themselves believe that they have been chosen for the salvation of humanity. On the contrary, they hanker after the condition of the bourgeoisie. From these two errors there ensues a third which concerns the class war and the advent of a new world. There is no point in arguing about the virtues which the left-wing Christian attributes to the working class: one must confess one's ignorance. When we read that ""the working class is an honest, downright race; it was through love of liberty that it divorced itself, consciously or unconsciously, not so much from the Church as from the artificial structures and false pretences in which the bourgeoisie had surrounded the Church"", when we read that ""most men and women of the people . . . are faithful to the Sermon on the Mount"", we are tempted neither to dissentthe goodness of simple people is no mere figmentnor to applaudthe myth of the chosen class is so obviously mixed up with the description. A Catholic has the right to believe that collective ownership or a planned society is more conducive to the good of the greatest number than a so-called capitalist regime. That is an opinion on a secular matter that one can affirm or reject. He has the right to believe that history must evolve towards the system he prefers, and to acknowledge as a fact the struggle among the social classes for the division of the national income or the organisation of society. But if he calls the advent of socialism 'the meaning of history', if he transfigures the power of the Communist Party into working-class emancipation, if he confers"
8,10,"a spiritual validity on the class struggle, then he has become a Marxist and is struggling in vain to reconcile a Christian heresy with orthodox Catholicism. What the Christian, without being aware of it, is taken in by in the working-class world and in Marxist ideology are the reminders, the echoes, of a religious experience: proletarians and party militants, like the early Christians, live in anticipation of a new world; they have remained pure, open to charity, because they have never exploited their fellowmen; the class which carries within it the youth of humanity rises up against the corrupt past. Subjectively, the left-wing Christians remain Catholics, but they have shelved the religious factor until beyond the revolution. ""We are not afraid; we are sure of our faith, sure of our Church. And moreover we know that the latter has never for long opposed any real human progress. . . . If a worker came to us one day to talk about religion, or even to solicit Baptism, we should begin, I think, by asking him if he had thought about the causes of working-class misery and if he took part in the struggle carried on by his comrades for the good of all. "" This is the final step: evangelisation is subordinated to revolution; the progressive Christians have been 'Marxianised' when they were supposed to be Christianising the workers. The Catholic faith is not incompatible with sympathy for the progressive parties, for the working-class movement, for the planned society, but it is incompatible with messianic Marxism because the latter sees the path of salvation in the historical process. The liberation which is the aim of Communist action is capable of objective description. In spite of the price that must be paid, it is legitimate in certain cases to prefer revolutionary violence to the slow process of reform. But it is only through a strictly religious interpretation of events that 'ideal' emancipation can be made to appear as the sine qua non of all progress and the first step towards redemption. The Communists, who claim quite unashamedly to be atheists, are nevertheless imbued with a faith: they do not aim exclusively at a rational exploitation of natural resources and of communal life; they aspire to control all cosmic forces and all societies in order to solve the riddle of history and to turn mankind away from meditation on the Fall on to the path of self-sufficiency.  Les Evénements et la Foi. Ideal emancipation bewitches left-wing Catholics in so far as it expresses itself in terms derived from Christian traditions. It bewitches the existentialists because the proletariat seems to offer a mythical community to philosophers obsessed by human solitude. It bewitches both because it contains in itself the poetry of the unknown, of the future, of the absolute. The Dullness of Real Emancipation Progressive Christians, in the strict sense of the term, are fairly few in France. Outside France, they hardly exist at all. As for the revolutionary phraseology of the existentialist philosophers, it has no equivalent in any other Western country. One might conclude from this that the nostalgia for 'ideal' liberation and contempt for 'real' emancipation is a phenomenon confined strictly to France, if not to Paris. And yet I am not at all sure that its significance does not extend well beyond St. Germain-des-Prés. The allure of ideal emancipation is the counterpart of the disillusionment engendered by real emancipation. The allure is limited to a narrow circle, but I fear that the disillusionment is fairly widespread. The workers of the West have merely swelled the ranks of the petty bourgeoisie; instead of bringing a renewal of civilisation, they have tended towards the diffusion of a sort of second-hand culture. The present phase, which may perhaps be transitory, cannot but be disheartening to the intellectuals. The theorists of the working-class movement in the last century had conceived three methods which might loosely be called those of revolution, reform and revolutionary syndicalism. The first has succeeded in Russia and China, the second in most Western countries, the third nowhere. This last method, in many ways the most attractive, postulated the taking-over of industry plant by plant by the workers on the spot, self-confident and proud of their class, refusing to submit themselves to the paternalism of the capitalists or to identify themselves with the petty bourgeoisie. Nowhere"
8,11,"has this yet happened. And, of course, it could not be otherwise. The progress of technology enlarges the role of administrative and research staffs and demands more highly skilled engineers; it reduces the number of unskilled labourers, but also of vocational workers, and demands a category of specialised labour requiring only a few weeks' training. What would be the significance of the management of production by the producers themselves? The election of their own leaders? The frequent consultation of works committees or a general assembly of employees? Such practices would be absurd or derisory. One can conceive of a progressive transformation of an enterprise, a sharing of profits, equitable methods of pay. The suppression of the wage scale, which demagogues talk about from time to time, is possible only in a symbolic sense. If one agrees to define wages as the fixed remuneration, by the hour or by piece-work, paid by a private employer, the worker in the Renault or Gorki factories is no longer a wage-earner. Since the revolution is not carried out by the workers themselves in each individual enterprise, it has to fall back on political organisationtrade unions and parties. In the British trade unions, the workers are enrolled in a vast and peacefully-inclined movement whose leaders often end their careers in the House of Lords or on the boards of nationalised industries. Has the emancipation of the English proletariat been the work of the proletariat itself? In a sense, yes. The Labour Party was not built up without a struggle; it was, and it remains, financed and sustained by the trade unions. But the latter represent the workers, most of whom are passive and are no more anxious to assume responsibilities inside the nationalised industries than in private industry. Under a Labour Government, when some of their own union leaders have become Ministers of the Crown, the workers show no less alacrity in claiming wage increases than under a Conservative Government. The Labour administration is theirs, but so in a sense is the Conservative: in both cases, the workers recognise themselves in their rulers because they do not feel themselves to be morally cut off from the rest of the community. The breaking-down of traditional class barriers has perhaps gone further in other countries. Many observers regard Sweden as a classless society, so uniform has the people's way of life become, so much has the awareness of belonging to a particular class diminished. It would be intolerably hypocritical on the part of those who deplore the misery of the proletariat to sneer at the results achieved by non-doctrinaire socialism. Possibly in our age there can be no question of any higher objective. On the other hand, one has no right to be surprised at the reservations of intellectuals who had pinned their hopes on the working-class movement. We are told ad nauseam by the editors of Esprit that the proletariat is the trustee of universal values and that its struggle is therefore that of humanity as a whole. From which there follows a multitude of vague and muddle-headed assertions. We can be ""grateful to Marx for having made us understand that the progress of philosophy is linked to the progress of a proletariat which behaves as the trustee of values which transcend it"". ""It is for all these reasons that the advancement of the working class is the event in which one must participate today in order to be able to think"". ""The proletariat is the trustee of the future only in so far as its liberation is intended as the liberation of all and not as a reversal of power which would replace a tyranny of money by the dictatorship of deified labour"".  Esprit, 1951, Nos. 7-8. What is the 'advancement of the working class' in which the professor of philosophy assures us that he participates? If it means the raising of the standard of living, the extension of trade unionism, social legislation or the humanisation of industrial relations, one would certainly agree. But these reforms do not raise the working class to the top of the ladder. The worker, in contact with brute matter, committed to the daily grind, is perhaps protected against the depravities of those who live in the world of words. Technological progress, which replaces the hand by the machine and physical effort by 'know-how', does not 'advance' him. The manual worker remains at the foot of the social ladder, not through the fault of capitalism or socialism but through the determinism"
8,12,"of science applied to industry. In a certain sense, the advancement of the working class is an actual fact. The day is past when the underprivileged, excluded from any chance of learning, enclosed in small communities with no means of contact with the outside world, were strangers to the march of history. Men can now read and write, they live cheek by jowl in big cities, they are flattered by the powerful who want to rule in their name. But, as one knows only too well, the century of the common man is also the century of dictatorships, war, conspiracies and fascist beasts. The assassination of emperors or police chiefs in the shadow of palaces belongs to the same epoch as the Nuremberg Rally or May Day parades in Moscow. The strength of working-class organisations involves a growing passivity in the individual worker. On both sides of the Iron Curtain the culture peculiar to the working class is dying out as more and more proletarians adopt bourgeois habits and values and avidly absorb the revolting literature of the so-called popular press or of 'socialist realism'. The catch-phrases 'tyranny of money' and 'civilisation of labour' are even more ambiguous than the one about the 'advancement of the working class'. One senses what the people who use them are after: should not men be prepared to give of their best in the service of a collectivity, of an ideal? At the risk of being accused of cynicism, I refuse to believe that any social order can be based on the virtue and disinterestedness of citizens. To obtain the maximum return, planners have long since returned to the system of the wage scale and even of the profit motive: the Soviet factory boss himself pockets the major portion of the factory's surplus fund. Anti-capitalist and anti-bourgeois literature has been full of invective against money ever since the famous pages of the young Marx. At the same time, the Left has adopted the ideal of universal comfort rejected by those thinkers who retain a nostalgia for aristocratic civilisations. The enemies of the modern worldsuch writers as Léon Bloy, Bernanos and Simone Weilhave the right to denounce money. But the progressives, annoyed by the fact that after two centuries the machine has failed to triumph over millennial poverty, and that proletarian classes and nations are still not granted a fair share of the world's richesone wonders what miracle they are Counting on. Unless they believe in a sudden conversion of the old Adam, they must pin their hopes on a prodigious increase of available wealth, and, to this end, offer the prospect of worldly rewards to the most energetic and the most ambitious. Planning and collective ownership eliminate certain forms of profit, but not the greed for the things of this world, in short the desire for money. Modern economy, whether socialist or capitalist, is inevitably a monetary economy. There exists in every society a minority which is indifferent to money and prepared for self-sacrifice. Such people are more numerous in revolutionary parties, or in régimes which have recently emerged from a revolution, than in stabilised régimes. They are particularly rare in civilisations where the emphasis is on worldly success, on business triumphs. Human nature is not very amenable to the wishes of the ideologists. The ban on Communist Party members receiving higher salaries than the workers did not long survive the early phase of enthusiasm. In the course of the Five-Year Plans the age-old slogan 'get rich quick' was soon added to the Marxist formula 'to each according to his needs'. The Communists were allowed the right to accumulate power and worldly possessions. As a reward for services rendered to the community, the 'proletarian' élite now finds it only natural to live like the aristocracy of yesterday. It is possible, and even probable, that the citizens of Soviet Russia are no more resentful of the privileges of their managers than are American citizens of those of their capitalists. But, it will be objected, in the Soviet Union money does not rule since the rich do not hold the reins of power. It is true that they do not exercise power by virtue of their riches: the ruling class derives its authority from the Party and the Idea. In the eyes of the governed, the legitimacy of the governors is less important than the way they exercise their authority. On the other side of the Iron Curtain, economic power and political power are in the. same hands; on this"
8,13,"side, they are divided among interdependent and rival groups. The division of powers is the prerequisite of liberty. Idealist revolutionaries assign to the working class the superhuman mission of putting an end to the all too tangible evils of industrial society. They have not the honesty to admit that the proletariat, as it becomes gradually and inevitably more bourgeois, loses the virtues which seemed to make it worthy of this high calling. Dissatisfaction with 'real' emancipation, with the prosaic common sense of free trade unionism, makes intellectuals more susceptible to the siren charms of ideal emancipation. The 'real' emancipation of the worker in Great Britain or in Sweden is as boring as an English Sunday; the 'ideal' emancipation of the Soviet worker is as exciting as a leap into the future or a cataclysm. Perhaps television sets will remove the martyr's halo from the emancipated proletarians of Moscow. Existentialists and left-wing Christians both seem to subscribe to the formula of M. Francis Jeanson: ""The vocation of the proletariat is not within historyit is to bring about the transformation of history"". M. Claude Lefort has also decreed as follows: ""Because it aims at an essential objectivethe abolition of exploitationthe political struggle of the workers must fail absolutely if it falls short of success"". In the absence of an exact definition of exploitationat what stage, one wonders, does inequality of incomes or a working contract between a private employer and a wage-earner involve exploitation? this last proposition is somewhat equivocal. Whichever way one looks at it, it is false: proletariats have won partial successes, they have never succeeded completely. And there is nothing to suggest that the industrial workers are specially predestined to transform history. In the eyes of these philosophers and Christians, it is suffering, the living proof of social injustice and human misery, which qualifies the proletariat for this unique destiny. The sufferings of the Western proletarians must still give the privileged a bad conscience. But what are they beside those of the 'leprous minorities', the shameful symbol of our daythe Jews exterminated by the Third Reich, the Trotskyists, Zionists, 'cosmopolitans', Baits and Poles hounded by the fury of the Secretary-General of the Communist Party, the inmates of concentration camps doomed to a slow death, the negroes of South Africa herded into reserves, the displaced persons, the sub-proletariats of the United States and France? If suffering confers a vocation, it is the victims of racial, ideological and religious persecution who should be the chosen of today. The 'contradiction' between industrial wage-earners and private employers is the one which Communism has most difficulty in exploiting in the twentieth centuryin the underdeveloped countries because the proletarians are not numerous enough, in capitalist countries because they are not revolutionary enough. It achieves much greater success when it stirs up nationalist passions or irredentist claims in colonial countries. The twentieth century is the century of racial or national wars rather than that of the class war in the classic sense of the word. The fact that proletarians as such are less inclined to violence than nations deprived of their independence, or races treated as inferiors, is easily explicable as soon as one forgets party dogma. Industrial wage-earners are held down willy-nilly by the discipline of labour. They erupt from time to time against the tyranny of the machine or of the bosses, in periods of 'primitive' accumulation, of technological unemployment or of deflation. These explosions imperil weak states or faint-hearted rulers. When they are organised, the workers find themselves doubly insuredby the apparatus of production as well as the apparatus of trade unionism. The yield from both increases simultaneously: the first produces more commodities and the second puts an increasing proportion of them at the disposal of the wage-earners. Inevitably, the latter resign themselves to their condition; and trade union leaders are not entirely reluctant to receive a share of power and its benefits. The peasants, resentful against the big landowners because they aspire to the possession of the land, should be far more disposed to violence. It is in the countryside that the question of ownership has"
8,14,"a real and decisive importance. The more modern industry develops, the less the pattern of ownership matters. No-one is the owner of the Kirov works or of General Motors. The differences concern the recruitment of managers and the division of power. Supposing the phrase 'transformation of history' to have any meaning at all, the class least capable of accomplishing it seems to me to be the working class. Revolutions in industrial societies alter the idea which the workers have of their situation and of those who control them. They transform the relations between the twin hierarchies, techno-bureaucratic and politico-syndicalist. The effect of the great revolutions of the twentieth century is to subordinate the latter to the former. In a régime such as the Third Reich, or in Soviet Russia, the leaders of working-class organisations are far more concerned with conveying the orders of the State to the wage-earners than putting the workers' claims and grievances before the State. True, the masters of the State claim to have the suffrage of the community as a whole, and the members of the Politburo are the elect of History. On the pretext that the Secretary-General of the Party is the guide of the proletariat, certain Western philosophers suddenly find legitimate the very practices for which they used to blame the capitalists forced saving, piece-work wages, etc. and approve of the restraints which they would be the first to denounce if the democrats were guilty of them. The workers of Eastern Germany, when they strike against the raising of norms, are traitors to their class. If Herr Grotewohl was not a disciple of Marx, he would be dubbed the scourge of the proletariat. Such is the magical virtue of words! Totalitarian régimes bring about the reunion of the technical and the political hierarchies. Whether one acclaims or curses them, one cannot possibly regard them as novelties unless one totally ignores the experience of the centuries. The free societies of the West, where powers are divided, where the State is undenominational, are the real oddities of history. Revolutionaries who dream of a total liberation are heralding the return to the outworn ideas of despotism."
9,1,"CONCERNING POLITICAL OPTIMISM LEFT, Revolution, Proletariatthese fashionable concepts are the latter-day counterparts of the great myths which once inspired political optimism: Progress, Reason, the People. The Left, which includes all the parties seated on one side of the hemicycle, which is credited with immutable aims, an eternal vocation, exists by virtue of the notion that the future is better than the present and that the direction in which societies must move is fixed once and for all. The myth of the Left presupposes the myth of Progress; it retains the historic vision of the latter, though without the same confidencefor the Left cannot help but find itself confronted with a Right which bars its way and is never conquered or converted. In the myth of the Revolution, this inconclusive struggle is represented as an ineluctable necessity. The resistance of vested interests, of elements hostile to the radiant, lyrical future, can only be broken by force. On the face of it, Revolution and Reason are diametrically opposed: the latter suggests discussion, the former, violence. Either one argues and ends up by convincing one's opponent, or one renounces argument and resorts to arms. Yet violence has been and continues to be the last resort of a certain rationalist impatience. Those who claim to know the form which institutions should be made to assume are enraged by the blindness of their fellow-men and lose faith in words, forgetting that the same obstacles arising from the nature of individuals and societies will always be there and that the revolutionaries, when they have made themselves masters of the State, will be faced with the same alternative of compromise or despotism. The mission assigned to the proletariat bespeaks a lesser degree of hope than the virtue which used to be ascribed to the people. To believe in the people was to believe in humanity as a whole. To believe in the proletariat is to believe in election by suffering. People and proletariat both symbolise the truth of simple creatures, but the people remains, in law, universalone can conceive at a pinch that the privileged themselves could be included in the communionwhile the proletariat is one class among many others, it achieves its triumph by liquidating the other classes and cannot become identified with the social whole except after much strife and bloodshed. Whoever speaks in the name of the proletariat will recall, throughout the centuries, slaves at grips with their masters; he cannot believe any longer in the progressive development of a natural order, but counts on the crowning revolt of the slaves to eliminate slavery. These three notions call for judicious interpretation. The Left is the party which refuses to resign itself to injustice and which maintains, against the equivocations of authority, the rights of the free conscience. A revolution, especially in retrospect, is a lyrical or exciting event, often inevitable, which it would be as deplorable to desire for its own sake as to condemn out of hand: there is no proof that the ruling classes have learned their lesson or that one can always remove unworthy rulers without violating the law or resorting to arms. The proletariat, in the precise sense of the working masses brought into being by heavy industry, has received from no-one, unless it be an intellectual of German origin who took refuge in Great Britain towards the end of the last century, the mission to 'transform history'; but today it represents not so much the immense class of the victims as the cohorts of workers organised by managers and inspired by demagogues. These notions cease to be rational and become mythical in consequence of an intellectual error. To re-establish the continuity of the Left across the centuries or to disguise the divisions inside the Left in any given epoch, it is necessary to forget the dialectic of régimes, the shifting of values from one party to another, the adoption by the Right of liberal values against planning and centralisation, the necessity of establishing a common-sense compromise between contradictory aims. The historical experience of the twentieth century reveals the frequency and the causes of revolutions in the industrial age. The error is to attribute to the Revolution a logic which it does not possess, to see it as the logical end of a movement which is based on reason, and to expect it to produce benefits which are incompatible with its very essence. It is not unprecedented for a society to return to the path of peace, after a revolutionary explosion, with a positive balance sheet. But revolutionary means remain on balance contrary to"
9,2,"the ends envisaged. Internecine violence is the negation, perhaps sometimes inevitable, of the mutual sympathy which should unite the members of a community. By uprooting tradition and mutual respect, it risks destroying the foundation of civil peace. The proletariat cannot help but demand, and obtain, a place in the communities of our time. In the last century it appeared to be the general drudge of industrial societies; since then, economic progress in the West has made it the freest and the best-paid slave in history and the prestige of suffering should now be transferred to those minorities which are worse treated. Servant of the machine, soldier of the Revolution, the proletariat as such is never either the symbol or the beneficiary or the leader of any régime whatsoever. It is through a kind of intellectual sleight-of-hand that the régime whose authority derives from Marxist ideology has been baptised proletarian. The common source of these errors is a kind of visionary optimism combined with a pessimistic view of reality. You pin your faith to a Left which constantly recruits the same men in the service of the same causes. You never weary of anathematising an eternal Right which is always defending sordid interests, always incapable of reading the signs of new times. The leaders of the Left are placed in the middle of the hierarchy, mobilising those below to drive out those above: they are the semi-privileged who represent the underprivileged until victory will make them privileged. These commonplaces are not quoted for the sake of an exercise in cynicism: neither political régimes nor economic systems are ever quite alike. But common sense ordains that one should not give to a highly ambiguous term, an ill-defined hotch-potch, a prestige and significance which belong strictly to the realm of ideas. Despotism has so often been established in the name of liberty that experience should warn us to judge parties by their practices rather than their preachings, and to avoid acts of faith or rash verdicts on this dubious battlefield where language muffles thought and values are constantly shifting. It is wrong to expect salvation from triumphant catastrophe, wrong to despair of victory in peaceful struggle. Violence allows a short cut to the ultimate goal, it liberates energies, encourages the rise of new talent, but also destroys traditional restraints on the authority of the State, and spreads the taste and the habit of forcible solutions. Time is needed to cure the ills bequeathed by a revolution, even when the latter has cured the ills of the previous régime. When a legitimate authority has collapsed, a group of men, sometimes a single man, takes over the responsibility for the common destiny, in order, say the faithful, that the revolution shall not die. In fact, in the general free-for-all, a leader must emerge to re-establish the first essential, which is security. How can an event which, like war, eliminates discussion and opens every possibility by denying every norm, bring salvation to humanity? It is nothing but raving optimism to designate the proletariat for a task which is beyond it, and excessive pessimism to put the other classes beyond the pale. One realises that, in any given period, one nation may be more creative than the rest. According to Hegel's formula, the spirit of the world is embodied by different nations in turn. The sequence of the Reformation, the bourgeois Revolution and the social Revolution may be interpreted in terms of the Germany of the sixteenth century, the France of the eighteenth and the Russia of the twentieth as the successive instruments of Reason. But Hegel's philosophy refuses to allow to any given society a political and moral virtue which puts it above common laws. There are exceptional beings: there is no exceptional society. Classes are even less amenable than nations to division between the elect and the outcasts. Either they constitute agglomerations as vast as that of the industrial workers, and in this sense they participate more by their suffering than by their collective will in the drama of history. Or they represent powerful minorities, nobility or bourgeoisie, and they have a function to fulfil, a task to achieve, not a transformation to accomplish. The proletariat, submitted to the rude discipline of the factory, does not change its nature in changing its master, any more than it changes the nature of societies. That is the nub of the debate. Historical optimism, tinged with pessim"
